,2020-09-30 00:00:00,2020-11-02 00:00:00,2020-11-30 00:00:00,2020-12-31 00:00:00,2021-02-01 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,2021-05-31 00:00:00,2021-06-30 00:00:00,2021-08-02 00:00:00,2021-08-31 00:00:00,2021-11-30 00:00:00,2021-12-31 00:00:00,2022-01-31 00:00:00,2022-02-28 00:00:00,2022-03-31 00:00:00,2022-05-02 00:00:00,2022-05-31 00:00:00,2022-06-30 00:00:00,2022-08-01 00:00:00,2022-08-31 00:00:00,2022-09-30 00:00:00,2022-10-31 00:00:00,2022-11-30 00:00:00,2023-01-02 00:00:00,2023-01-31 00:00:00,2023-02-28 00:00:00,2023-05-31 00:00:00,2023-06-30 00:00:00,2023-07-31 00:00:00,2023-08-31 00:00:00,2023-10-16 00:00:00,2023-10-17 00:00:00,2023-10-18 00:00:00,2023-10-19 00:00:00,2023-10-20 00:00:00,2023-10-23 00:00:00,2023-10-24 00:00:00,2023-10-25 00:00:00,2023-10-26 00:00:00,2023-10-27 00:00:00,2023-10-30 00:00:00,2023-10-31 00:00:00
Q159Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029684136366017666,-0.024801433959523403,-0.03416863598375425,-0.031463759792912764,-0.021925870331118386,-0.018948184074123655,-0.014718268215551217,-0.024482111720260217,-0.029696682664011844,0.02693771779077671,0.046666574544547666,0.03284301935222158
Q170Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006212390343192754,0.025313167030174298,0.004427493504165794,0.007664881666075131,-0.05306556853855484,-0.04007152560209185,-0.05435610157331079,-0.06813141505620719,-0.03509880208502291,-0.0249864475841351,-0.036483218434405405,-0.03518067526853503
Q173Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028596272556467113,-0.04213785930037343,-0.0362269634877614,-0.029309662609722145,-0.003556114254570122,-0.016907554264794112,0.02079145323223599,0.016231233862939603,-0.007663326391732044,-0.030837954434230177,-0.037862725261779626,0.05304012670033322
Q182Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004689568933665118,0.06540389191455014,0.057224232837919914,0.04242876067877349,-0.02837829525562811,-0.0649953953956519,-0.0011063766907818738,-0.0030959214236596444,-0.012262069191880439,-0.05661760725502194,-0.13018396469013563,0.03617048561558283
Q183Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007200110091790309,-0.03239674066866022,-0.051529551210993375,-0.08119657908717527,-0.1388553820763685,-0.17190909100638055,-0.18848875670439666,-0.20195134486068186,-0.22007831837127162,-0.16541667787530967,-0.18032724468158065,-0.012999377406385449
Q335Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010052809484300653,-0.04542189136169953,-0.033617263115597075,-0.023558759497017284,-0.017262296037828997,-0.05854482568259258,-0.01053058880304776,-0.031326712943555435,-0.0476436230677474,0.02632753291464953,0.06577172161075871,0.09667951059023874
Q337Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001298552876178771,0.02060208356558837,0.02719992502797299,0.034241865193954106,0.08056460566931739,0.10951370095271575,0.07744052880497308,0.07177085956557933,0.06029679157188146,0.09187650294054935,0.06946868455240156,0.002717053293333106
Q338Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001051657723291423,0.003810733847844631,0.0037339024737781477,0.0021348068746483003,0.0018790998983491843,-7.82470989224379e-05,0.0008867145088742901,-0.0013918726144242144,-0.003572100574893106,-0.0004874578823004026,0.0005680539663841462,0.007419751272126012
Q339Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015148964072386507,-0.0019828234596172404,0.00419443695786308,0.008166283985856894,0.044788467265916225,0.01951614378137208,0.048999985121029634,0.05081916270914096,0.028972400189989218,0.05880892963609139,0.04308640253457925,0.06949360261581611
Q340Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00162275536257228,0.026734874098368035,0.013312495134916991,-4.1258226472306766e-05,0.007839206230487887,0.012392844376336807,0.016649181225441498,0.013297680634443646,0.01506598831066775,0.031003503661284546,0.031181332494622408,0.018368428865366777
Q341Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013842846860078397,0.010654474587491851,0.004893926830909513,0.00496561081232885,0.026439351065215805,0.01726916915933065,0.02437545989079717,0.019896753966335702,0.016228776650651137,0.03394328012187375,0.033999303442341894,0.027093485512073502
Q342Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014946355307941886,0.02413147641733364,0.01813292170654184,0.010945994612686328,0.014822217691117764,0.0224839867865062,0.03188468069231545,0.02732486045348728,0.04314942203721892,0.05419300222515662,0.03239287447081956,0.025983273141965666
Q583Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013364869170646057,0.007839948382180962,0.0035515868927420203,0.0007146075598276322,-0.008232721659891027,-0.001414573110052886,-0.011051452596503605,-0.012034324731468518,-0.01014762830629038,-0.01905101658758359,-0.01899303205640142,-0.017478835172892334
Q584Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004865027733704959,0.01314726653414291,0.010507861884622003,0.010384974524631245,0.02114719518183341,0.020089785590300974,0.017280551834667528,0.011531480235870728,0.014161102124264075,0.009766915998968378,0.011394868706301143,0.001350683510952129
Q585Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034767412173333074,0.024692507802213416,0.020393979109706428,0.01671035006117972,0.01896362212212448,0.014524237202421124,0.009714188291063946,0.006262856118130567,0.004680138116560283,0.008575470929883923,0.009335619589748372,-0.0007352869433424088
Q586Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00033017631251818896,-0.009542686472583084,-0.011715054323182645,-0.011754772550413385,-0.01096497758252459,-0.01789972847663687,0.00017578555706632362,-0.0038423090062653783,-0.0033715474418523853,-0.0016341091597157273,-0.016510867034865394,0.02690599290841243
